ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
All Reads	ALL	27	54888845	155299	22	0.239726	6.08e-4	NA	NA	NA	BC20-T1
All Reads	ALL	28	63607757	190860	22	0.254235	5.82e-4	NA	NA	NA	BC20-T1
All Reads	ALL	29	72092623	228890	22	0.269009	5.62e-4	NA	NA	NA	BC20-T1
All Reads	ALL	30	80150381	267319	22	0.282589	5.47e-4	NA	NA	NA	BC20-T1
All Reads	ALL	31	87582575	306795	22	0.296798	5.36e-4	NA	NA	NA	BC20-T1
All Reads	ALL	32	94099516	348857	22	0.314117	5.32e-4	NA	NA	NA	BC20-T1
All Reads	ALL	33	99563693	395609	22	0.336664	5.35e-4	NA	NA	NA	BC20-T1
All Reads	ALL	34	103822748	431894	22	0.352465	5.36e-4	NA	NA	NA	BC20-T1
All Reads	ALL	35	107046720	473564	22	0.374832	5.45e-4	NA	NA	NA	BC20-T1
All Reads	ALL	36	109094349	523958	22	0.406935	5.62e-4	NA	NA	NA	BC20-T1
All Reads	ALL	37	109759029	563322	22	0.434858	5.79e-4	NA	NA	NA	BC20-T1
All Reads	ALL	38	108742561	596103	22	0.464465	6.02e-4	NA	NA	NA	BC20-T1
All Reads	ALL	39	106350740	620355	22	0.494232	6.27e-4	NA	NA	NA	BC20-T1
All Reads	ALL	40	102986732	629326	22	0.517756	6.53e-4	NA	NA	NA	BC20-T1
All Reads	ALL	41	98941479	633055	22	0.542118	6.81e-4	NA	NA	NA	BC20-T1
All Reads	ALL	42	94444701	642551	23	0.576449	7.19e-4	NA	NA	NA	BC20-T1
All Reads	ALL	43	89958166	637710	23	0.600639	7.52e-4	NA	NA	NA	BC20-T1
All Reads	ALL	44	85906450	623926	23	0.615373	7.79e-4	NA	NA	NA	BC20-T1
All Reads	ALL	45	82456226	621054	23	0.638171	8.1e-4	NA	NA	NA	BC20-T1
All Reads	ALL	46	79550344	627071	23	0.667891	8.43e-4	NA	NA	NA	BC20-T1
All Reads	ALL	47	77085421	650939	23	0.715482	8.87e-4	NA	NA	NA	BC20-T1
All Reads	ALL	48	74497370	658980	23	0.749484	9.23e-4	NA	NA	NA	BC20-T1
All Reads	ALL	49	71272749	676180	23	0.80384	9.78e-4	NA	NA	NA	BC20-T1
All Reads	ALL	50	67162836	697732	23	0.880219	0.001054	NA	NA	NA	BC20-T1
All Reads	ALL	51	62356075	724876	23	0.984954	0.001157	NA	NA	NA	BC20-T1
All Reads	ALL	52	57369069	768928	23	1.135635	0.001295	NA	NA	NA	BC20-T1
All Reads	ALL	53	52702057	809635	23	1.301645	0.001447	NA	NA	NA	BC20-T1
All Reads	ALL	54	48542265	871870	23	1.521818	0.00163	NA	NA	NA	BC20-T1
All Reads	ALL	55	44876597	927434	23	1.751032	0.001818	NA	NA	NA	BC20-T1
All Reads	ALL	56	41346578	966782	23	1.981162	0.002015	NA	NA	NA	BC20-T1
All Reads	ALL	57	37594432	1025012	23	2.310129	0.002282	NA	NA	NA	BC20-T1
All Reads	ALL	58	33458358	1091703	23	2.76459	0.002646	NA	NA	NA	BC20-T1
All Reads	ALL	59	28972655	1141291	23	3.337636	0.003124	NA	NA	NA	BC20-T1
All Reads	ALL	60	24470214	1166458	23	4.038892	0.00374	NA	NA	NA	BC20-T1
All Reads	ALL	61	20316562	1165020	23	4.858633	0.004501	NA	NA	NA	BC20-T1
All Reads	ALL	62	16771816	1161159	23	5.866006	0.005444	NA	NA	NA	BC20-T1
All Reads	ALL	63	13846719	1141116	23	6.982546	0.006537	NA	NA	NA	BC20-T1
All Reads	ALL	64	11435727	1113658	23	8.251235	0.007819	NA	NA	NA	BC20-T1
All Reads	ALL	65	9427296	1057485	23	9.504253	0.009242	NA	NA	NA	BC20-T1
All Reads	ALL	66	7763602	977478	23	10.667794	0.01079	NA	NA	NA	BC20-T1
All Reads	ALL	67	6306729	900462	23	12.097402	0.012749	NA	NA	NA	BC20-T1
All Reads	ALL	68	5044172	782042	23	13.136241	0.014854	NA	NA	NA	BC20-T1
All Reads	ALL	69	4036063	669510	23	14.054974	0.017177	NA	NA	NA	BC20-T1
All Reads	ALL	70	3237424	559128	23	14.63331	0.01957	NA	NA	NA	BC20-T1
All Reads	ALL	71	2593527	442908	23	14.469504	0.021742	NA	NA	NA	BC20-T1
All Reads	ALL	72	2098727	352805	23	14.243269	0.02398	NA	NA	NA	BC20-T1
All Reads	ALL	73	1714316	289009	23	14.284051	0.02657	NA	NA	NA	BC20-T1
All Reads	ALL	74	1414431	232129	23	13.905242	0.028861	NA	NA	NA	BC20-T1
All Reads	ALL	75	1193116	184284	23	13.086872	0.030485	NA	NA	NA	BC20-T1
All Reads	ALL	76	1030236	155160	22	12.760684	0.032395	NA	NA	NA	BC20-T1
All Reads	ALL	77	906345	119888	22	11.207612	0.032369	NA	NA	NA	BC20-T1
All Reads	ALL	78	806223	90686	22	9.530506	0.031648	NA	NA	NA	BC20-T1
All Reads	ALL	79	704539	65531	22	7.880843	0.030786	NA	NA	NA	BC20-T1
All Reads	ALL	80	601018	49477	22	6.975041	0.031358	NA	NA	NA	BC20-T1
All Reads	ALL	81	504754	35832	22	6.014814	0.031775	NA	NA	NA	BC20-T1
All Reads	ALL	82	423484	24804	22	4.962673	0.03151	NA	NA	NA	BC20-T1
All Reads	ALL	83	348430	18155	22	4.414806	0.032765	NA	NA	NA	BC20-T1
All Reads	ALL	84	270044	9988	21	3.133826	0.031357	NA	NA	NA	BC20-T1
All Reads	ALL	85	195661	4677	20	2.025322	0.029615	NA	NA	NA	BC20-T1
All Reads	ALL	86	130371	2846	20	1.84963	0.034671	NA	NA	NA	BC20-T1
All Reads	ALL	87	84764	1444	20	1.4434	0.037984	NA	NA	NA	BC20-T1
All Reads	ALL	88	58468	739	17	1.07092	0.039394	NA	NA	NA	BC20-T1
All Reads	ALL	89	38017	250	20	0.557177	0.035239	NA	NA	NA	BC20-T1
All Reads	ALL	90	24933	104	21	0.353419	0.034656	NA	NA	NA	BC20-T1
All Reads	ALL	91	15833	330	20	1.765963	0.097213	NA	NA	NA	BC20-T1
All Reads	ALL	92	9370	126	21	1.139362	0.101502	NA	NA	NA	BC20-T1
All Reads	ALL	93	5877	106	18	1.528203	0.148432	NA	NA	NA	BC20-T1
All Reads	ALL	94	3408	825	16	20.510926	0.714099	NA	NA	NA	BC20-T1
All Reads	ALL	95	1663	1865	15	95.020539	2.200281	NA	NA	NA	BC20-T1
All Reads	ALL	96	986	1618	14	139.037677	3.456553	NA	NA	NA	BC20-T1
All Reads	ALL	97	658	3919	15	504.638373	8.061069	NA	NA	NA	BC20-T1
All Reads	ALL	98	328	6251	14	1614.754698	20.423577	NA	NA	NA	BC20-T1
All Reads	ALL	99	133	1433	14	912.904717	24.115838	NA	NA	NA	BC20-T1
All Reads	ALL	100	339	0	0	0	0	NA	NA	NA	BC20-T1
All Reads	ALL	0	132619	17	18	0.01189	0.002884	NA	NA	NA	BC18-P1
All Reads	ALL	1	95016	41	10	0.040023	0.006251	NA	NA	NA	BC18-P1
All Reads	ALL	2	109250	47	11	0.039903	0.00582	NA	NA	NA	BC18-P1
All Reads	ALL	3	139082	227	16	0.151384	0.010048	NA	NA	NA	BC18-P1
All Reads	ALL	4	149438	100	16	0.062068	0.006207	NA	NA	NA	BC18-P1
All Reads	ALL	5	152532	219	13	0.133171	0.008999	NA	NA	NA	BC18-P1
All Reads	ALL	6	173446	596	15	0.318719	0.013055	NA	NA	NA	BC18-P1
All Reads	ALL	7	187203	570	16	0.282415	0.011829	NA	NA	NA	BC18-P1
All Reads	ALL	8	213554	181	14	0.078613	0.005843	NA	NA	NA	BC18-P1
All Reads	ALL	9	241757	339	18	0.130061	0.007064	NA	NA	NA	BC18-P1
All Reads	ALL	10	285954	366	18	0.118716	0.006205	NA	NA	NA	BC18-P1
All Reads	ALL	11	351175	377	15	0.099573	0.005128	NA	NA	NA	BC18-P1
All Reads	ALL	12	460264	426	18	0.085848	0.004159	NA	NA	NA	BC18-P1
All Reads	ALL	13	609431	738	19	0.11232	0.004135	NA	NA	NA	BC18-P1
All Reads	ALL	14	866131	978	19	0.104732	0.003349	NA	NA	NA	BC18-P1
All Reads	ALL	15	1276991	1577	19	0.114543	0.002884	NA	NA	NA	BC18-P1
All Reads	ALL	16	1912298	3008	20	0.145898	0.00266	NA	NA	NA	BC18-P1
All Reads	ALL	17	2873264	4840	19	0.156241	0.002246	NA	NA	NA	BC18-P1
All Reads	ALL	18	4310883	8867	19	0.190781	0.002026	NA	NA	NA	BC18-P1
All Reads	ALL	19	6364320	14096	20	0.205433	0.00173	NA	NA	NA	BC18-P1
All Reads	ALL	20	9194506	21551	20	0.217403	0.001481	NA	NA	NA	BC18-P1
All Reads	ALL	21	12934834	32060	20	0.229894	0.001284	NA	NA	NA	BC18-P1
All Reads	ALL	22	17664262	44662	21	0.234514	0.00111	NA	NA	NA	BC18-P1
All Reads	ALL	23	23450931	60573	22	0.239577	9.73e-4	NA	NA	NA	BC18-P1
All Reads	ALL	24	30272954	83032	22	0.2544	8.83e-4	NA	NA	NA	BC18-P1
All Reads	ALL	25	37967796	112765	22	0.275476	8.2e-4	NA	NA	NA	BC18-P1
All Reads	ALL	26	46244861	145186	22	0.291197	7.64e-4	NA	NA	NA	BC18-P1
All Reads	ALL	27	54888845	179535	22	0.303383	7.16e-4	NA	NA	NA	BC18-P1
All Reads	ALL	28	63607757	218334	22	0.318373	6.81e-4	NA	NA	NA	BC18-P1
All Reads	ALL	29	72092623	261245	23	0.336111	6.58e-4	NA	NA	NA	BC18-P1
All Reads	ALL	30	80150381	306444	23	0.354626	6.41e-4	NA	NA	NA	BC18-P1
All Reads	ALL	31	87582575	353230	23	0.374081	6.29e-4	NA	NA	NA	BC18-P1
All Reads	ALL	32	94099516	398509	23	0.392804	6.22e-4	NA	NA	NA	BC18-P1
All Reads	ALL	33	99563693	448097	23	0.417442	6.24e-4	NA	NA	NA	BC18-P1
All Reads	ALL	34	103822748	495509	23	0.442675	6.29e-4	NA	NA	NA	BC18-P1
All Reads	ALL	35	107046720	540191	23	0.468058	6.37e-4	NA	NA	NA	BC18-P1
All Reads	ALL	36	109094349	593875	23	0.504915	6.55e-4	NA	NA	NA	BC18-P1
All Reads	ALL	37	109759029	640764	23	0.541481	6.76e-4	NA	NA	NA	BC18-P1
All Reads	ALL	38	108742561	678184	23	0.57846	7.02e-4	NA	NA	NA	BC18-P1
All Reads	ALL	39	106350740	709119	23	0.618449	7.34e-4	NA	NA	NA	BC18-P1
All Reads	ALL	40	102986732	728130	23	0.655773	7.69e-4	NA	NA	NA	BC18-P1
All Reads	ALL	41	98941479	735382	23	0.689382	8.04e-4	NA	NA	NA	BC18-P1
All Reads	ALL	42	94444701	737928	23	0.724706	8.44e-4	NA	NA	NA	BC18-P1
All Reads	ALL	43	89958166	736209	23	0.759078	8.85e-4	NA	NA	NA	BC18-P1
All Reads	ALL	44	85906450	718606	24	0.775873	9.15e-4	NA	NA	NA	BC18-P1
All Reads	ALL	45	82456226	713491	24	0.802584	9.5e-4	NA	NA	NA	BC18-P1
All Reads	ALL	46	79550344	716916	24	0.835895	9.87e-4	NA	NA	NA	BC18-P1
All Reads	ALL	47	77085421	722688	24	0.869569	0.001023	NA	NA	NA	BC18-P1
All Reads	ALL	48	74497370	724678	24	0.902256	0.00106	NA	NA	NA	BC18-P1
All Reads	ALL	49	71272749	733993	24	0.955199	0.001115	NA	NA	NA	BC18-P1
All Reads	ALL	50	67162836	733795	24	1.013378	0.001183	NA	NA	NA	BC18-P1
All Reads	ALL	51	62356075	732495	23	1.089561	0.001273	NA	NA	NA	BC18-P1
All Reads	ALL	52	57369069	733241	24	1.185481	0.001384	NA	NA	NA	BC18-P1
All Reads	ALL	53	52702057	749541	23	1.319148	0.001524	NA	NA	NA	BC18-P1
All Reads	ALL	54	48542265	772866	23	1.476759	0.00168	NA	NA	NA	BC18-P1
All Reads	ALL	55	44876597	792667	23	1.638311	0.00184	NA	NA	NA	BC18-P1
All Reads	ALL	56	41346578	824839	23	1.850356	0.002037	NA	NA	NA	BC18-P1
All Reads	ALL	57	37594432	850923	23	2.099386	0.002276	NA	NA	NA	BC18-P1
All Reads	ALL	58	33458358	879263	23	2.437473	0.002599	NA	NA	NA	BC18-P1
All Reads	ALL	59	28972655	890430	23	2.850605	0.003021	NA	NA	NA	BC18-P1
All Reads	ALL	60	24470214	887700	23	3.36476	0.003571	NA	NA	NA	BC18-P1
All Reads	ALL	61	20316562	880906	23	4.021656	0.004285	NA	NA	NA	BC18-P1
All Reads	ALL	62	16771816	867053	23	4.795028	0.00515	NA	NA	NA	BC18-P1
All Reads	ALL	63	13846719	839881	23	5.625958	0.006139	NA	NA	NA	BC18-P1
All Reads	ALL	64	11435727	808069	23	6.554058	0.007291	NA	NA	NA	BC18-P1
All Reads	ALL	65	9427296	755715	23	7.435266	0.008553	NA	NA	NA	BC18-P1
All Reads	ALL	66	7763602	686275	23	8.198993	0.009897	NA	NA	NA	BC18-P1
All Reads	ALL	67	6306729	627779	23	9.232689	0.011653	NA	NA	NA	BC18-P1
All Reads	ALL	68	5044172	544740	23	10.016707	0.013572	NA	NA	NA	BC18-P1
All Reads	ALL	69	4036063	466715	23	10.725546	0.0157	NA	NA	NA	BC18-P1
All Reads	ALL	70	3237424	390149	23	11.177805	0.017895	NA	NA	NA	BC18-P1
All Reads	ALL	71	2593527	311451	23	11.138445	0.019959	NA	NA	NA	BC18-P1
All Reads	ALL	72	2098727	255250	23	11.280683	0.022328	NA	NA	NA	BC18-P1
All Reads	ALL	73	1714316	211085	22	11.420683	0.024858	NA	NA	NA	BC18-P1
All Reads	ALL	74	1414431	171939	23	11.275044	0.027191	NA	NA	NA	BC18-P1
All Reads	ALL	75	1193116	135325	23	10.520127	0.028598	NA	NA	NA	BC18-P1
All Reads	ALL	76	1030236	111598	22	10.047206	0.030076	NA	NA	NA	BC18-P1
All Reads	ALL	77	906345	87309	22	8.934928	0.030239	NA	NA	NA	BC18-P1
All Reads	ALL	78	806223	68768	22	7.911463	0.030169	NA	NA	NA	BC18-P1
All Reads	ALL	79	704539	53646	22	7.062491	0.030492	NA	NA	NA	BC18-P1
All Reads	ALL	80	601018	40426	22	6.238769	0.031029	NA	NA	NA	BC18-P1
All Reads	ALL	81	504754	29354	22	5.394027	0.031483	NA	NA	NA	BC18-P1
All Reads	ALL	82	423484	20388	22	4.465429	0.031273	NA	NA	NA	BC18-P1
All Reads	ALL	83	348430	15625	22	4.159394	0.033275	NA	NA	NA	BC18-P1
All Reads	ALL	84	270044	9313	22	3.198753	0.033146	NA	NA	NA	BC18-P1
All Reads	ALL	85	195661	4517	21	2.14127	0.03186	NA	NA	NA	BC18-P1
All Reads	ALL	86	130371	3013	22	2.1436	0.039052	NA	NA	NA	BC18-P1
All Reads	ALL	87	84764	1530	21	1.674193	0.042802	NA	NA	NA	BC18-P1
All Reads	ALL	88	58468	381	20	0.604411	0.030965	NA	NA	NA	BC18-P1
All Reads	ALL	89	38017	97	21	0.236657	0.024029	NA	NA	NA	BC18-P1
All Reads	ALL	90	24933	39	19	0.145083	0.023232	NA	NA	NA	BC18-P1
All Reads	ALL	91	15833	218	19	1.277082	0.086495	NA	NA	NA	BC18-P1
All Reads	ALL	92	9370	55	21	0.544438	0.073412	NA	NA	NA	BC18-P1
All Reads	ALL	93	5877	53	18	0.836461	0.114897	NA	NA	NA	BC18-P1
All Reads	ALL	94	3408	578	15	15.73091	0.65432	NA	NA	NA	BC18-P1
All Reads	ALL	95	1663	1220	15	68.044524	1.948109	NA	NA	NA	BC18-P1
