BAIT_SET	BAIT_TERRITORY	BAIT_DESIGN_EFFICIENCY	ON_BAIT_BASES	NEAR_BAIT_BASES	OFF_BAIT_BASES	PCT_SELECTED_BASES	PCT_OFF_BAIT	ON_BAIT_VS_SELECTED	MEAN_BAIT_COVERAGE	PCT_USABLE_BASES_ON_BAIT	PCT_USABLE_BASES_ON_TARGET	FOLD_ENRICHMENT	HS_LIBRARY_SIZE	HS_PENALTY_10X	HS_PENALTY_20X	HS_PENALTY_30X	HS_PENALTY_40X	HS_PENALTY_50X	HS_PENALTY_100X	TARGET_TERRITORY	GENOME_SIZE	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_TARGET_BASES	PCT_PF_READS	PCT_PF_UQ_READS	PCT_PF_UQ_READS_ALIGNED	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	MIN_TARGET_COVERAGE	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_ADAPTER	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	PCT_TARGET_BASES_40X	PCT_TARGET_BASES_50X	PCT_TARGET_BASES_100X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP	SAMPLE_NAME
IMPACT341_b37_baits	1648657	0.564285	1449174284	286101915	1038898125	0.625511	0.374489	0.835126	879.0029	0.518582	0.150575	982.813278	7919995	10.188653	10.354092	10.513404	10.68497	10.854085	11.883483	930312	3101804739	22178508	22178508	2794492008	14966174	14942231	2774174324	1869213147	420779520	1	0.674805	0.9984	452.299358	200	2207	0	0.004839	0.326209	1e-6	0.024553	0.009208	0.184539	0.303827	2.261497	0.996659	0.996537	0.996338	0.995964	0.995769	0.99542	0.995043	0.991633	13.423069	1.466474	0.996554	25	NA	NA	NA	BC03-P1
IMPACT341_b37_baits	1648657	0.564285	1077399256	382624472	10332088129	0.123814	0.876186	0.737933	653.501156	0.088399	0.033688	171.897367	11343951	52.893995	53.468627	54.015895	54.61789	55.176104	58.591057	930312	3101804739	97503078	97503078	12187884750	80682037	80481783	11792111857	9743286872	410591158	1	0.827482	0.997518	441.347804	200	2655	0	0.002323	0.173745	2e-6	0.037926	0.024318	0.133284	0.595929	2.206739	0.997986	0.997643	0.996838	0.996332	0.99594800000000006	0.995653	0.995253	0.993201	2.960342	2.514234	0.997457	26	NA	NA	NA	BC20-N
IMPACT341_b37_baits	1648657	0.564285	1020240000	287792927	1012122203	0.56377	0.43623	0.77998	618.830964	0.431313	0.141843	827.312274	6822877	8.42535	8.567218	8.714341	8.850956	9.008587	9.916546	930312	3101804739	23654276	23654276	2365427600	15823455	15691583	2320155130	1544064749	335519432	1	0.668947	0.991666	360.65259	200	1142	0	0.00271	0.334499	2e-6	0.038792	0.035671	0.076596	0.369838	1.803263	0.997801	0.997756	0.997335	0.996726	0.996023	0.995576	0.995034	0.991385	0.168634	3.318208	0.997642	26	NA	NA	NA	BC17-N
IMPACT341_b37_baits	1648657	0.564285	548078879	130782560	477927125	0.58685	0.41315	0.80735	332.439603	0.458605	0.155292	891.40122	3979238	9.070331	9.302299	9.560042	9.843559	10.149757	12.153963	930312	3101804739	9560792	9560792	1195099000	7035154	7022299	1156788564	847605302	185589561	1	0.735834	0.998173	199.491741	163	1065	0	0.004452	0.267277	1e-6	0.028357	0.016166	0.168739	0.35904199999999997	1.936813	0.996788	0.996734	0.996238	0.995703	0.995287	0.993864	0.988878	0.817308	17.646553	2.541215	0.996614	25	NA	NA	NA	BC10-N
IMPACT341_b37_baits	1648657	0.564285	1543944467	396765513	1006656837	0.658456	0.341544	0.795557	936.486162	0.513962	0.199398	985.556735	15536980	11.799087	11.933325	12.080348	12.240155	12.397406	13.287213	930312	3101804739	30040042	30040042	3004004200	22157980	22050788	2947366817	2168014380	598992081	1	0.737615	0.995162	643.861501	200	2384	0	0.002904	0.264423	0	0.024494	0.03231	0.103981	0.371567	3.219308	0.997784	0.997767	0.997448	0.997103	0.996967	0.996753	0.996598	0.995681	6.224235	0.830607	0.997745	26	NA	NA	NA	BC02-N
IMPACT341_b37_baits	1648657	0.564285	1071289920	362324711	1014367510	0.585631	0.414369	0.747265	649.795512	0.427597	0.16193	823.347019	11309891	10.503935	10.601299	10.720299	10.828481	10.958299	11.60739	930312	3101804739	20043004	20043004	2505375500	15859093	15824720	2447982141	1932972753	405696264	1	0.791253	0.997833	436.086242	200	3362	0	0.003871	0.210381	1e-6	0.026735	0.021335	0.122803	0.453031	2.180431	0.997284	0.997156	0.99672	0.996293	0.996014	0.995623	0.995234	0.993054	0.635808	4.235944	0.997115	25	NA	NA	NA	BC18-N
IMPACT341_b37_baits	1648657	0.564285	1492405086	373017222	957927236	0.660712	0.339288	0.800036	905.224729	0.518311	0.200587	994.50327	15282855	11.370768	11.517895	11.658892	11.793758	11.948242	12.772154	930312	3101804739	28793600	28793600	2879360000	21395485	21296593	2823349544	2092125915	577562949	1	0.743064	0.995378	620.827152	200	2736	0	0.00271	0.258992	0	0.024309	0.031804	0.109339	0.370996	3.104136	0.997866	0.997755	0.997393	0.9971	0.996986	0.996738	0.996505	0.99555	5.183136	0.911464	0.99772	26	NA	NA	NA	BC04-N
IMPACT341_b37_baits	1648657	0.564285	1544059990	389979593	995377457	0.660213	0.339787	0.79836	936.556233	0.517142	0.200935	991.669852	15943290	11.826592	11.979373	12.106691	12.265839	12.42244	13.293294	930312	3101804739	29857556	29857556	2985755600	22238469	22145600	2929417040	2176175966	599943601	1	0.744819	0.995824	644.884298	200	2495	0	0.002904	0.25713	0	0.02421	0.031219	0.108256	0.374389	3.224421	0.997781	0.99776	0.997355	0.997039	0.996876	0.99673	0.996603	0.995822	5.287031	0.852706	0.997707	26	NA	NA	NA	BC09-N
IMPACT341_b37_baits	1648657	0.564285	1668850334	424350457	1086734137	0.658253	0.341747	0.797272	1012.248354	0.514889	0.200779	987.37767	17328816	12.85756	13.002664	13.168497	13.334331	13.500164	14.428831	930312	3101804739	32411822	32411822	3241182200	24172044	24062535	3179934928	2365187404	650760285	1	0.745779	0.99547	699.507568	200	3235	0	0.00271	0.256215	0	0.024683	0.032098	0.106723	0.375639	3.497538	0.997897	0.997778	0.997387	0.997101	0.996963	0.996781	0.996643	0.995878	5.373423	0.895494	0.997764	27	NA	NA	NA	BC06-N
IMPACT341_b37_baits	1648657	0.564285	1350588125	345959082	877115117	0.659196	0.340804	0.79608	819.205041	0.514927	0.201099	987.31448	14036826	10.394699	10.512	10.646057	10.780115	10.914173	11.664896	930312	3101804739	26228710	26228710	2622871000	19539567	19445986	2573662324	1912061312	527457912	1	0.744969	0.995211	566.968836	200	2524	0	0.002904	0.257066	0	0.023429	0.032709	0.105984	0.375871	2.834844	0.997781	0.997768	0.997336	0.997016	0.99687	0.99668	0.996438	0.995282	5.485613	0.80514	0.997719	26	NA	NA	NA	BC08-N
IMPACT341_b37_baits	1648657	0.564285	2321963718	761715676	2141658984	0.59014	0.40986	0.752985	1408.397088	0.433213	0.157166	836.036338	20061465	21.435453	21.678951	21.957234	22.235518	22.513801	24.100017	930312	3101804739	42878906	42878906	5359863250	32429603	32350062	5225338378	3940252579	842386577	1	0.756307	0.997547	905.488242	200	6774	0	0.003291	0.245934	1e-6	0.027	0.020421	0.121552	0.423894	4.527441	0.997403	0.997225	0.997005	0.996846	0.996691	0.996551	0.996384	0.995943	6.674978	2.04304	0.997228	26	NA	NA	NA	BC14-N
IMPACT341_b37_baits	1648657	0.564285	1061321881	370892702	1020545694	0.58392	0.41608	0.741036	643.749355	0.42308	0.166916	814.097007	12653006	10.777842	10.875337	10.972831	11.086574	11.193818	11.804781	930312	3101804739	20068502	20068502	2508562750	16274525	16241504	2452760277	1985408002	418719192	1	0.810949	0.997971	450.084694	200	4013	0	0.003678	0.190541	1e-6	0.029221	0.025623	0.118746	0.465167	2.250423	0.997319	0.997193	0.996925	0.996555	0.996361	0.996235	0.99606	0.994676	2.867668	2.71519	0.99719	26	NA	NA	NA	BC15-N
IMPACT341_b37_baits	1648657	0.564285	1442408884	379500969	931154803	0.661775	0.338225	0.791702	874.899317	0.514344	0.200433	985.725796	14703793	11.036452	11.161805	11.305065	11.448325	11.605911	12.408168	930312	3101804739	28043634	28043634	2804363400	20729942	20631237	2753064656	2029337898	562087747	1	0.739203	0.995239	604.19273	200	2198	0	0.002904	0.26288	0	0.023277	0.030837	0.102369	0.376473	3.020964	0.997785	0.997777	0.997455	0.997129	0.996842	0.996686	0.996478	0.995429	5.510014	0.874407	0.997749	26	NA	NA	NA	BC07-N
IMPACT341_b37_baits	1648657	0.564285	1474319525	368042318	946433738	0.66063	0.33937	0.800233	894.254854	0.518624	0.200791	994.624333	15176933	11.263373	11.408876	11.530129	11.681695	11.830835	12.660203	930312	3101804739	28427522	28427522	2842752200	21178666	21084936	2788795581	2072228606	570799343	1	0.745006	0.995574	613.556896	200	2462	0	0.00271	0.256945	0	0.023774	0.032656	0.108629	0.373325	3.067784	0.997705	0.997546	0.997118	0.996956	0.996827	0.996525	0.996345	0.995357	5.399492	0.847321	0.997547	26	NA	NA	NA	BC01-N
IMPACT341_b37_baits	1648657	0.564285	1156035424	367580826	1069719063	0.587512	0.412488	0.758744	701.198263	0.435516	0.165898	838.68063	12353763	11.185429	11.288477	11.414424	11.528921	11.652579	12.312084	930312	3101804739	21235246	21235246	2654405750	16890596	16857809	2593335313	2058524389	440360580	1	0.795404	0.998059	473.3472	200	2784	0	0.003678	0.206225	1e-6	0.02883	0.020868	0.132148	0.442136	2.366736	0.997387	0.997188	0.996723	0.996453	0.996278	0.996016	0.995704	0.994429	4.315674	2.529213	0.997124	25	NA	NA	NA	BC21-N
IMPACT341_b37_baits	1648657	0.564285	1546627431	391965057	995361189	0.660744	0.339256	0.797809	938.113526	0.517108	0.203124	991.782864	16361072	11.923204	12.076242	12.203774	12.363188	12.520052	13.36176	930312	3101804739	29909198	29909198	2990919800	22427442	22323608	2933953677	2194273984	607527961	1	0.749851	0.99537	653.036789	200	2882	0	0.002904	0.25211	1e-6	0.023442	0.031782	0.10756	0.378041	3.265184	0.99773	0.997705	0.997394	0.997159	0.996955	0.99677	0.996608	0.995671	5.978399	0.835884	0.997693	26	NA	NA	NA	BC12-N
IMPACT341_b37_baits	1648657	0.564285	417914425	99093047	404014396	0.561341	0.438659	0.808333	253.487793	0.443433	0.209271	853.692693	9977076	11.032895	11.201773	11.36261	11.563655	11.742184	12.823005	930312	3101804739	9424526	9424526	942452600	8293061	8261061	921021868	809406549	197228024	1	0.879945	0.996141	212.002021	166	2839	0	0.002904	0.121186	0	0.044401	0.049261	0.119319	0.451702	2.650025	0.997707	0.997621	0.996601	0.995451	0.991518	0.97753	0.947385	0.712464	21.766038000000002	1.991049	0.997457	26	NA	NA	NA	BC05-N
IMPACT341_b37_baits	1648657	0.564285	1595970375	399737674	1013461864	0.663209	0.336791	0.799701	968.042701	0.520184	0.203126	997.843101	16859699	12.233136	12.390157	12.521007000000001	12.684571	12.845517	13.69343	930312	3101804739	30680858	30680858	3068085800	23012898	22918540	3009169913	2251238610	623207412	1	0.750073	0.9959	669.890759	200	3041	0	0.003097	0.251874	0	0.023044	0.031795	0.110167	0.376021	3.349454	0.997634	0.997626	0.997335	0.997098	0.996928	0.996779	0.996639	0.99581	5.328133	0.911159	0.99762	26	NA	NA	NA	BC13-N
IMPACT341_b37_baits	1648657	0.564285	732098147	221627557	725809458	0.567851	0.432149	0.767619	444.057282	0.429014	0.186264	820.095354	10823408	7.383717	7.449994	7.519954	7.593595	7.655454	8.061954	930312	3101804739	17064652	17064652	1706465200	13854598	13790096	1679535162	1361174532	317853106	1	0.811889	0.995344	341.662911	200	1312	0	0.00271	0.189553	0	0.040356	0.044316	0.081947999999999993	0.454587	1.708315	0.997791	0.997785	0.997418	0.996856	0.996454	0.995978	0.995582	0.991763	4.518799	1.069929	0.997723	26	NA	NA	NA	BC16-N
IMPACT341_b37_baits	1648657	0.564285	1610785918	410117485	1033328649	0.661673	0.338327	0.797062	977.029132	0.517587	0.202298	992.247328	16702167	12.345026	12.484345	12.643568	12.80279	12.962013	13.853659	930312	3101804739	31121058	31121058	3112105800	23190533	23087756	3054232052	2269926129	629572695	1	0.745172	0.995568	676.732854	200	2602	0	0.003097	0.256793	0	0.023609	0.031938	0.106271	0.375262	3.383664	0.997629	0.997624	0.997172	0.996947	0.996776	0.996658	0.99643	0.995491	5.538891	0.87105	0.997577	26	NA	NA	NA	BC03-N
