CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	LIBRARY	SAMPLE_NAME
PAIR	22053526	22053526	1	0	22032834	0.999062	2758616883	21281514	2666645086	2606360811	0	0.002807	0.002638	1.12e-4	126	22012150	0.999061	2683624	0.121801	0	0.499714	0.013033	3e-6	NA	BC06-P1
FIRST_OF_PAIR	23619484	23619484	1	0	23618547	0.99996	2960570048	22992032	2884372355	2839411057	0	0.002286	0.002154	1.23e-4	126	23446743	0.992726	355019	0.015031	0	0.49181	0.006001	3e-6	NA	BC10-P1
SECOND_OF_PAIR	23619484	23619484	1	0	23447679	0.992726	2913704352	22795643	2837406714	2657416459	0	0.006683	0.006525	1.27e-4	126	23446743	0.99996	184151	0.007854	0	0.507795	0.006591	5.3e-5	NA	BC10-P1
PAIR	47238968	47238968	1	0	47066226	0.996343	5874274400	45787675	5721779069	5496827516	0	0.004467	0.004321	1.25e-4	126	46893486	0.99633	539170	0.011456	0	0.499773	0.006295	2.8e-5	NA	BC10-P1
FIRST_OF_PAIR	9006796	9006796	1	0	9006219	0.999936	1128013284	8721605	1093088230	1075991224	0	0.002184	0.002038	1.16e-4	126	8991377	0.998352	708706	0.078691	0	0.491843	0.008508	7e-6	NA	BC09-P1
SECOND_OF_PAIR	9006796	9006796	1	0	8991953	0.998352	1125062327	8702585	1089895218	1058658667	0	0.003339	0.003168	1.15e-4	126	8991377	0.999936	694440	0.077229	0	0.507748	0.008614	1e-5	NA	BC09-P1
PAIR	18013592	18013592	1	0	17998172	0.999144	2253075611	17424190	2182983448	2134649891	0	0.002761	0.002602	1.15e-4	126	17982754	0.999143	1403146	0.07796	0	0.499789	0.008561	8e-6	NA	BC09-P1
FIRST_OF_PAIR	10038146	10038146	1	0	9995597	0.995761	976982498	9660756	946036031	897375333	0	0.003815	0.003574	1.21e-4	100	9960158	0.996455	174161	0.017424	0	0.507092	0.015649	1e-5	NA	BC04-T
SECOND_OF_PAIR	10038146	10038146	1	0	10002707	0.99647	972793220	9664114	941803204	879953274	0	0.004622	0.004374	1.2e-4	100	9960158	0.995746	181271	0.018122	0	0.492684	0.017787	1.3e-5	NA	BC04-T
PAIR	20076292	20076292	1	0	19998304	0.996115	1949775718	19324870	1887839235	1777328607	0	0.004218	0.003973	1.2e-4	100	19920316	0.9961	355432	0.017773	0	0.499886	0.016719	1.1e-5	NA	BC04-T
FIRST_OF_PAIR	17297592	17297592	1	0	17296858	0.999958	2167624708	16817615	2109221790	2075695582	0	0.002281	0.002156	1.26e-4	126	17175784	0.993	477586	0.027611	0	0.492145	0.006649	8e-6	NA	BC20-P1
SECOND_OF_PAIR	17297592	17297592	1	0	17176510	0.993	2137602626	16680128	2079002018	1961565517	0	0.006085	0.005923	1.26e-4	126	17175784	0.999958	357238	0.020798	0	0.507456	0.007091	4.7e-5	NA	BC20-P1
PAIR	34595184	34595184	1	0	34473368	0.996479	4305227334	33497743	4188223808	4037261099	0	0.00417	0.004026	1.26e-4	126	34351568	0.996467	834824	0.024216	0	0.499774	0.006869	2.7e-5	NA	BC20-P1
FIRST_OF_PAIR	17703583	17703583	1	0	17640461	0.996435	1733751461	17075475	1681006111	1587067873	0	0.003903	0.003674	1.12e-4	100	17577286	0.996419	298871	0.016942	0	0.504017	0.014431	4e-6	NA	BC06-T
SECOND_OF_PAIR	17703583	17703583	1	0	17640408	0.996432	1724743724	17066595	1671789038	1546119693	0	0.005122	0.004886	1.12e-4	100	17577286	0.996422	298818	0.016939	0	0.495716	0.016112	4e-6	NA	BC06-T
PAIR	35407166	35407166	1	0	35280869	0.996433	3458495185	34142070	3352795149	3133187566	0	0.004511	0.004278	1.12e-4	100	35154572	0.99642	597689	0.016941	0	0.499867	0.015271	4e-6	NA	BC06-T
FIRST_OF_PAIR	16188875	16188875	1	0	16184491	0.999729	1583132144	15286730	1502072801	1470859113	0	0.003995	0.003353	1.74e-4	100	16113848	0.995635	690443	0.042661	0	0.51071	0.044011	2.2e-5	NA	BC16-T
SECOND_OF_PAIR	16188875	16188875	1	0	16118232	0.995636	1554556778	15181168	1473090138	1419239724	0	0.005599	0.004929	1.7e-4	100	16113848	0.999728	624184	0.038725	0	0.488517	0.049764	2.7e-5	NA	BC16-T
PAIR	32377750	32377750	1	0	32302723	0.997683	3137688922	30467898	2975162939	2890098837	0	0.00479	0.004133	1.72e-4	100	32227696	0.997677	1314627	0.040697	0	0.499636	0.046882	2.5e-5	NA	BC16-T
FIRST_OF_PAIR	20345281	20345281	1	0	20343563	0.999916	2548471265	19713681	2471400936	2436853498	0	0.002185	0.002044	1.23e-4	126	20242532	0.995034	2990465	0.146998	0	0.496749	0.009179	1.1e-5	NA	BC14-P1
SECOND_OF_PAIR	20345281	20345281	1	0	20243881	0.995016	2524675805	19589186	2446569659	2335351508	0	0.004965	0.004758	1.21e-4	126	20242532	0.999933	2890783	0.142798	0	0.502764	0.009574	3.6e-5	NA	BC14-P1
PAIR	40690562	40690562	1	0	40587444	0.997466	5073147070	39302867	4917970595	4772205006	0	0.003568	0.003394	1.22e-4	126	40485064	0.997478	5881248	0.144903	0	0.499749	0.009376	2.4e-5	NA	BC14-P1
FIRST_OF_PAIR	1642719	1642719	1	0	1642603	0.999929	195637875	1577484	188454209	185028869	0	0.003678	0.003309	1.53e-4	125	1639431	0.998069	17068	0.010391	0	0.514432	0.010495	5e-6	NA	BC14-T2
SECOND_OF_PAIR	1642719	1642719	1	0	1639547	0.998069	194357109	1573262	187164946	179764257	0	0.005815	0.005453	1.45e-4	125	1639431	0.999929	14012	0.008546	0	0.485388	0.01167	8e-6	NA	BC14-T2
PAIR	3285438	3285438	1	0	3282150	0.998999	389994984	3150746	375619155	364793126	0	0.004743	0.004377	1.49e-4	125	3278862	0.998998	31080	0.009469	0	0.499923	0.011082	7e-6	NA	BC14-T2
FIRST_OF_PAIR	20467383	20467383	1	0	20466612	0.999962	2565335329	19858838	2491107647	2452988309	0	0.002299	0.00215	1.3e-4	126	20326508	0.993155	689166	0.033673	0	0.493163	0.006481	5e-6	NA	BC15-P1
SECOND_OF_PAIR	20467383	20467383	1	0	20327270	0.993154	2529794902	19698170	2455400050	2319858248	0	0.00605	0.005861	1.3e-4	126	20326508	0.999963	549824	0.027049	0	0.506463	0.007041	4.6e-5	NA	BC15-P1
PAIR	40934766	40934766	1	0	40793882	0.996558	5095130231	39557008	4946507697	4772846557	0	0.004161	0.003992	1.3e-4	126	40653016	0.996547	1238990	0.030372	0	0.49979	0.00676	2.5e-5	NA	BC15-P1
FIRST_OF_PAIR	12979294	12979294	1	0	12978136	0.999911	1585417405	12559781	1536764427	1501643506	0	0.003038	0.002823	1.33e-4	125	12945586	0.997492	144590	0.011141	0	0.514737	0.009652	2e-6	NA	BC15-T2
SECOND_OF_PAIR	12979294	12979294	1	0	12946742	0.997492	1569609841	12516661	1520895195	1425623403	0	0.006678	0.006461	1.29e-4	125	12945586	0.999911	113196	0.008743	0	0.484977	0.011093	5e-6	NA	BC15-T2
PAIR	25958588	25958588	1	0	25924878	0.998701	3155027246	25076442	3057659622	2927266909	0	0.004849	0.004632	1.31e-4	125	25891172	0.9987	257786	0.009944	0	0.499875	0.010372	4e-6	NA	BC15-T2
FIRST_OF_PAIR	14511740	14511740	1	0	14508810	0.999798	1430748682	13814109	1366574722	1342447869	0	0.003476	0.002881	1.68e-4	100	14457794	0.996484	374036	0.02578	0	0.50863	0.023642	4e-6	NA	BC17-T
SECOND_OF_PAIR	14511740	14511740	1	0	14460724	0.996485	1412627600	13747286	1348655347	1297186427	0	0.00539	0.004789	1.58e-4	100	14457794	0.999797	325950	0.02254	0	0.490704	0.026962	5e-6	NA	BC17-T
PAIR	29023480	29023480	1	0	28969534	0.998141	2843376282	27561395	2715230069	2639634296	0	0.004427	0.003829	1.63e-4	100	28915588	0.998138	699986	0.024163	0	0.499682	0.025299	4e-6	NA	BC17-T
FIRST_OF_PAIR	3235733	3235733	1	0	3210943	0.992339	313242690	3106788	303796853	284941841	0	0.004678	0.004464	1.06e-4	100	3174415	0.988624	163846	0.051027	0	0.495006	0.041429	1.5e-5	NA	BC12-T
SECOND_OF_PAIR	3235733	3235733	1	0	3199204	0.988711	306832380	3093669	297485944	275644139	0	0.005246	0.005033	1.08e-4	100	3174415	0.992252	152107	0.047545	0	0.504804	0.045155	1.3e-5	NA	BC12-T
PAIR	6471466	6471466	1	0	6410147	0.990525	620075070	6200457	601282797	560585980	0	0.004959	0.004745	1.07e-4	100	6348830	0.990434	315953	0.04929	0	0.499896	0.043289	1.4e-5	NA	BC12-T
FIRST_OF_PAIR	18974348	18974348	1	0	18967213	0.999624	2291540528	17778483	2162179963	2092286047	0	0.006329	0.0049	2.91e-4	125	18853694	0.994015	699339	0.036871	0	0.502615	0.034358	1e-5	NA	BC07-T2
SECOND_OF_PAIR	18974348	18974348	1	0	18860825	0.994017	2240815195	17620562	2112998690	1927937781	0	0.011201	0.009839	2.6e-4	125	18853694	0.999622	592951	0.031438	0	0.497357	0.040234	1.4e-5	NA	BC07-T2
PAIR	37948696	37948696	1	0	37828038	0.99682	4532355723	35399045	4275178653	4020223828	0	0.008738	0.007341	2.76e-4	125	37707388	0.996811	1292290	0.034162	0	0.499994	0.037288	1.2e-5	NA	BC07-T2
FIRST_OF_PAIR	13520577	13520577	1	0	13519811	0.999943	1693280143	13091301	1640725892	1613545584	0	0.002151	0.002019	1.08e-4	126	13486834	0.997561	1714731	0.126831	0	0.49325	0.010522	4e-6	NA	BC08-P1
SECOND_OF_PAIR	13520577	13520577	1	0	13487594	0.997561	1686722598	13050002	1633668793	1577121340	0	0.003724	0.003553	1.1e-4	126	13486834	0.999944	1682514	0.124745	0	0.506257	0.010616	6e-6	NA	BC08-P1
PAIR	27041154	27041154	1	0	27007405	0.998752	3380002741	26141303	3274394685	3190666924	0	0.002936	0.002784	1.09e-4	126	26973668	0.99875100000000006	3397245	0.125789	0	0.499746	0.010569	5e-6	NA	BC08-P1
FIRST_OF_PAIR	32233600	32233600	1	0	32232245	0.999958	4041704576	31154548	3908636121	3807614094	0	0.002225	0.002058	1.3e-4	126	32152862	0.997537	4422847	0.137218	0	0.491561	0.012126	0	NA	BC01-P1
SECOND_OF_PAIR	32233600	32233600	1	0	32154174	0.997536	4028558958	31065423	3895026790	3742289383	0	0.003208	0.003015	1.31e-4	126	32152862	0.999959	4344776	0.135123	0	0.508259	0.012181	1e-6	NA	BC01-P1
PAIR	64467200	64467200	1	0	64386419	0.998747	8070263534	62219971	7803662911	7549903477	0	0.002715	0.002535	1.3e-4	126	64305724	0.998747	8767623	0.136172	0	0.4999	0.012153	1e-6	NA	BC01-P1
FIRST_OF_PAIR	10627029	10627029	1	0	10626040	0.999907	1287710394	10274636	1247524010	1218190524	0	0.003193	0.002968	1.39e-4	125	10604661	0.997988	110873	0.010434	0	0.508276	0.009534	2e-6	NA	BC01-T2
SECOND_OF_PAIR	10627029	10627029	1	0	10605650	0.997988	1276648349	10245388	1236384159	1170026962	0	0.00601	0.005787	1.34e-4	125	10604661	0.999907	90483	0.008532	0	0.491499	0.011295	4e-6	NA	BC01-T2
PAIR	21254058	21254058	1	0	21231690	0.998948	2564358743	20520024	2483908169	2388217486	0	0.004595	0.004371	1.37e-4	125	21209322	0.998946	201356	0.009484	0	0.499895	0.010414	3e-6	NA	BC01-T2
FIRST_OF_PAIR	18294301	18294301	1	0	18293530	0.999958	2294465652	17776253	2231194204	2194601540	0	0.002338	0.002204	1.23e-4	126	18178656	0.993721	356144	0.019468	0	0.493257	0.005601	5e-6	NA	BC05-P1
SECOND_OF_PAIR	18294301	18294301	1	0	18179423	0.993721	2263534474	17644358	2200123601	2072975767	0	0.006262	0.006098	1.25e-4	126	18178656	0.999958	242037	0.013314	0	0.506316	0.006084	4.6e-5	NA	BC05-P1
PAIR	36588602	36588602	1	0	36472953	0.996839	4558000126	35420611	4431317805	4267577307	0	0.004287	0.004137	1.24e-4	126	36357312	0.996829	598181	0.016401	0	0.499766	0.005842	2.5e-5	NA	BC05-P1
FIRST_OF_PAIR	21853622	21853622	1	0	21851451	0.999901	2737912647	21153533	2652529442	2612323909	0	0.00224	0.002095	1.25e-4	126	21713301	0.993678	2512196	0.114967	0	0.493732	0.009026	1.2e-5	NA	BC17-P1
SECOND_OF_PAIR	21853622	21853622	1	0	21714470	0.993633	2704889271	20982531	2618124241	2486104130	0	0.005562	0.005339	1.25e-4	126	21713301	0.999946	2375215	0.109384	0	0.505859	0.009568	4.9e-5	NA	BC17-P1
PAIR	43707244	43707244	1	0	43565921	0.996767	5442801918	42136064	5270653683	5098428039	0	0.003891	0.003706	1.25e-4	126	43426602	0.996802	4887411	0.112184	0	0.499776	0.009296	3e-5	NA	BC17-P1
FIRST_OF_PAIR	7669092	7669092	1	0	7668516	0.999925	960051478	7421444	929862924	915128930	0	0.002188	0.002039	1.18e-4	126	7651930	0.997837	930565	0.121349	0	0.493154	0.009803	7e-6	NA	BC13-P1
SECOND_OF_PAIR	7669092	7669092	1	0	7652501	0.997837	956710810	7399918	926203333	896320725	0	0.003663	0.00348	1.2e-4	126	7651930	0.999925	914550	0.11951	0	0.506396	0.00993	1e-5	NA	BC13-P1
PAIR	15338184	15338184	1	0	15321017	0.998881	1916762288	14821362	1856066257	1811449655	0	0.002924	0.002758	1.19e-4	126	15303860	0.99888	1845115	0.12043	0	0.499768	0.009866	9e-6	NA	BC13-P1
